Airport, Airplane ID, Arrival Time, Local Simulation Time, Number of Flights, Origin, Destination
Airport3, 4.2, 55.956887, 54.332175, 1, 3, 2
Airport3, 4.1, 56.408870, 54.655344, 1, 3, 2
Airport3, 4.5, 116.409344, 117.812770, 1, 3, 2
Airport3, 1.3, 123.178475, 155.897751, 1, 0, 2
Airport3, 4.10, 177.125150, 180.298531, 1, 3, 2
Airport3, 1.1, 206.250184, 199.986600, 2, 3, 2
Airport3, 1.4, 156.296326, 207.507572, 1, 0, 2
Airport3, 1.2, 208.263542, 220.214782, 2, 3, 2
Airport3, 1.6, 222.457025, 256.697740, 1, 0, 2
Airport3, 2.7, 146.319891, 264.064736, 1, 1, 2
Airport3, 2.8, 148.797260, 150.837068, 1, 1, 2
Airport3, 2.3, 267.002230, 157.450665, 2, 3, 2
Airport3, 2.6, 297.827785, 267.002230, 2, 3, 2
Airport3, 1.9, 319.219214, 340.055806, 1, 0, 2
Airport3, 4.3, 240.030010, 372.912576, 2, 1, 2
