Airport, Airplane ID, Arrival Time, Local Simulation Time, Number of Flights, Origin, Destination
Airport1, 3.4, 86.690669, 88.312881, 1, 2, 0
Airport1, 3.3, 87.938316, 86.690669, 1, 2, 0
Airport1, 3.6, 118.356978, 96.597955, 1, 2, 0
Airport1, 4.7, 147.064587, 120.524672, 1, 3, 0
Airport1, 2.2, 55.956887, 124.286391, 1, 1, 0
Airport1, 2.1, 56.408870, 124.286391, 1, 1, 0
Airport1, 4.8, 150.516612, 55.956887, 1, 3, 0
Airport1, 3.9, 176.065777, 143.263901, 1, 2, 0
Airport1, 2.5, 117.250814, 206.822011, 1, 1, 0
Airport1, 4.5, 236.316742, 117.250814, 2, 2, 0
Airport1, 3.7, 237.092821, 216.277761, 2, 3, 0
Airport1, 4.10, 265.634523, 245.860340, 2, 2, 0
Airport1, 2.10, 178.678096, 288.069694, 1, 1, 0
Airport1, 2.9, 231.124378, 306.888926, 2, 3, 0
Airport1, 1.1, 294.678217, 306.888926, 3, 2, 0
Airport1, 1.3, 323.667849, 231.124378, 3, 3, 0
Airport1, 3.1, 206.760899, 312.381701, 2, 1, 0
Airport1, 3.2, 209.808445, 206.760899, 2, 1, 0
Airport1, 1.9, 386.868510, 419.903586, 2, 2, 0
Airport1, 4.6, 271.234258, 499.226737, 2, 1, 0
Airport1, 3.10, 299.807951, 613.981189, 2, 1, 0
Airport1, 2.4, 385.756754, 786.950321, 3, 1, 0
Airport1, 1.5, 448.272529, 868.191412, 3, 1, 0
Airport1, 2.2, 537.017748, 886.078386, 3, 1, 0
Airport1, 2.5, 697.932178, 931.792434, 3, 1, 0
Airport1, 4.5, 730.255070, 957.064018, 4, 1, 0
