Airport, Airplane ID, Arrival Time, Local Simulation Time, Number of Flights, Origin, Destination
Airport1, 1.1, 59.082537, 56.679356, 0, 0, 3
Airport1, 1.2, 90.300372, 88.312881, 0, 0, 3
Airport1, 1.3, 123.178475, 120.524672, 0, 0, 2
Airport1, 1.4, 156.296326, 153.454695, 0, 0, 2
Airport1, 1.5, 189.782708, 188.226941, 0, 0, 3
Airport1, 1.6, 222.457025, 220.210549, 0, 0, 2
Airport1, 1.7, 256.685869, 253.900336, 0, 0, 1
Airport1, 1.8, 286.234654, 284.840809, 0, 0, 1
Airport1, 1.9, 319.219214, 317.515157, 0, 0, 2
Airport1, 1.10, 352.324504, 350.270145, 0, 0, 3
Airport1, 3.4, 384.109625, 382.350935, 1, 0, 3
Airport1, 3.3, 416.613909, 414.036839, 1, 0, 3
Airport1, 3.6, 449.020437, 447.327507, 1, 0, 2
Airport1, 2.2, 480.614825, 479.071080, 1, 0, 1
Airport1, 2.1, 511.586887, 510.069709, 1, 0, 2
Airport1, 4.7, 545.542015, 542.655727, 1, 0, 3
Airport1, 4.8, 574.565104, 572.891975, 1, 0, 2
Airport1, 3.9, 607.586520, 606.396434, 1, 0, 3
Airport1, 2.5, 640.869819, 638.992602, 1, 0, 1
Airport1, 4.5, 672.526180, 670.554043, 2, 0, 1
Airport1, 3.7, 704.849778, 702.561249, 2, 0, 1
Airport1, 4.10, 736.259846, 734.028320, 2, 0, 1
Airport1, 2.10, 768.177674, 766.786512, 1, 0, 3
Airport1, 2.9, 802.657839, 800.264276, 2, 0, 1
Airport1, 1.1, 833.471971, 831.894566, 3, 0, 2
Airport1, 3.1, 867.293795, 864.889010, 2, 0, 2
Airport1, 3.2, 897.376056, 895.664968, 2, 0, 1
Airport1, 1.3, 929.784710, 927.615705, 3, 0, 3
Airport1, 1.9, 962.051228, 959.960332, 2, 0, 3
Airport1, 4.6, 994.967749, 992.824063, 2, 0, 3
