Airport, Airplane ID, Arrival Time, Local Simulation Time, Number of Flights, Origin, Destination
Airport2, 2.2, 55.956887, 53.629319, 0, 1, 0
Airport2, 2.1, 56.408870, 54.332175, 0, 1, 0
Airport2, 2.4, 86.690669, 84.333168, 0, 1, 3
Airport2, 2.3, 87.888617, 85.669344, 0, 1, 3
Airport2, 2.5, 117.250814, 115.220513, 0, 1, 0
Airport2, 2.6, 119.673690, 117.421361, 0, 1, 3
Airport2, 2.7, 146.319891, 144.883187, 0, 1, 2
Airport2, 2.8, 148.797260, 146.426368, 0, 1, 2
Airport2, 2.9, 176.316098, 174.271026, 0, 1, 3
Airport2, 2.10, 178.678096, 177.420148, 0, 1, 0
Airport2, 3.1, 206.760899, 205.002210, 1, 1, 0
Airport2, 3.2, 209.808445, 208.017865, 1, 1, 0
Airport2, 4.4, 238.346618, 236.370259, 1, 1, 3
Airport2, 4.3, 240.030010, 237.989033, 1, 1, 2
Airport2, 3.5, 265.598064, 264.019176, 1, 1, 3
Airport2, 4.6, 271.234258, 268.894698, 1, 1, 0
Airport2, 4.9, 296.708907, 293.994489, 1, 1, 3
Airport2, 3.10, 299.807951, 297.998262, 1, 1, 0
Airport2, 4.1, 326.513483, 324.498856, 2, 1, 2
Airport2, 4.2, 328.926535, 327.110440, 2, 1, 2
Airport2, 3.8, 357.383201, 354.740818, 2, 1, 2
Airport2, 1.7, 358.945458, 356.790229, 1, 1, 2
Airport2, 2.4, 385.756754, 383.990741, 2, 1, 0
Airport2, 1.4, 389.082030, 387.089266, 2, 1, 2
Airport2, 1.8, 416.053012, 414.561792, 1, 1, 3
Airport2, 4.3, 418.230152, 416.533411, 3, 1, 3
Airport2, 1.2, 445.415573, 443.991420, 3, 1, 2
Airport2, 1.5, 448.272529, 447.143575, 2, 1, 0
Airport2, 2.2, 537.017748, 535.332525, 2, 1, 0
Airport2, 2.5, 697.932178, 695.610462, 2, 1, 0
Airport2, 4.5, 730.255070, 728.448438, 3, 1, 0
Airport2, 3.7, 759.966813, 758.598343, 3, 1, 2
Airport2, 4.10, 791.160340, 789.725735, 3, 1, 0
Airport2, 2.9, 860.668858, 858.073143, 3, 1, 2
Airport2, 3.2, 952.680916, 950.736010, 3, 1, 2
