Airport, Airplane ID, Arrival Time, Local Simulation Time, Number of Flights, Origin, Destination
Airport2, 3.2, 55.956887, 2.000000, 1, 2, 1
Airport2, 3.1, 56.408870, 3.000000, 1, 2, 1
Airport2, 4.4, 85.129161, 17.488289, 1, 3, 1
Airport2, 4.3, 88.239015, 18.901926, 1, 3, 1
Airport2, 3.5, 116.478380, 42.741192, 1, 2, 1
Airport2, 4.6, 119.245676, 47.388840, 1, 3, 1
Airport2, 4.9, 176.448527, 71.158871, 1, 3, 1
Airport2, 3.10, 177.990428, 71.158871, 1, 2, 1
Airport2, 4.1, 205.210526, 87.749287, 2, 2, 1
Airport2, 4.2, 208.879884, 90.228610, 2, 2, 1
Airport2, 3.8, 236.069535, 115.220513, 2, 3, 1
Airport2, 2.4, 265.564309, 155.095447, 2, 3, 1
Airport2, 1.7, 256.685869, 162.942577, 1, 0, 1
Airport2, 1.5, 296.638079, 173.145398, 2, 3, 1
Airport2, 1.4, 267.483247, 175.497191, 2, 2, 1
Airport2, 1.8, 286.234654, 178.901088, 1, 0, 1
Airport2, 1.2, 299.229770, 192.023327, 3, 2, 1
Airport2, 4.3, 295.123222, 257.176991, 3, 2, 1
Airport2, 2.2, 480.614825, 264.019176, 2, 0, 1
Airport2, 2.5, 640.869819, 314.148885, 2, 0, 1
Airport2, 4.5, 672.526180, 331.909803, 3, 0, 1
Airport2, 3.7, 704.849778, 346.803551, 3, 0, 1
Airport2, 4.10, 736.259846, 365.842909, 3, 0, 1
Airport2, 2.9, 802.657839, 403.688968, 3, 0, 1
Airport2, 3.2, 897.376056, 677.852238, 3, 0, 1
