Airport, Airplane ID, Arrival Time, Local Simulation Time, Number of Flights, Origin, Destination
Airport3, 3.2, 55.956887, 53.629319, 0, 2, 1
Airport3, 3.1, 56.408870, 54.332175, 0, 2, 1
Airport3, 3.4, 86.690669, 84.333168, 0, 2, 0
Airport3, 3.3, 87.938316, 85.669344, 0, 2, 0
Airport3, 3.5, 116.478380, 114.349746, 0, 2, 1
Airport3, 3.6, 118.356978, 116.385426, 0, 2, 0
Airport3, 3.7, 147.251849, 144.788738, 0, 2, 3
Airport3, 3.8, 149.121440, 146.945917, 0, 2, 3
Airport3, 3.9, 176.065777, 173.659991, 0, 2, 0
Airport3, 3.10, 177.990428, 176.680769, 0, 2, 1
Airport3, 4.1, 205.210526, 202.638466, 1, 2, 1
Airport3, 4.2, 208.879884, 206.886579, 1, 2, 1
Airport3, 4.5, 236.316742, 233.636351, 1, 2, 0
Airport3, 1.3, 237.467492, 235.774562, 1, 2, 3
Airport3, 4.10, 265.634523, 264.064736, 1, 2, 0
Airport3, 1.4, 267.483247, 265.064256, 1, 2, 1
Airport3, 1.1, 294.678217, 293.094861, 2, 2, 0
Airport3, 1.2, 299.229770, 297.082450, 2, 2, 1
Airport3, 1.6, 323.965793, 321.951837, 1, 2, 3
Airport3, 2.7, 325.717605, 323.796760, 1, 2, 3
Airport3, 2.8, 356.109337, 353.417648, 1, 2, 3
Airport3, 2.3, 358.245672, 355.752021, 2, 2, 3
Airport3, 4.3, 295.123222, 293.732060, 2, 2, 1
Airport3, 2.6, 385.290649, 383.399602, 2, 2, 3
Airport3, 1.9, 386.868510, 385.123307, 1, 2, 0
